landscape,wind,strategy,min_dist,seed,cells_burned,burn_pct,cells_treated,treat_pct,peak_burning,fire_periods,returncode
dogrib,ws10,proximity,0,6,21273,26.7212,471,0.591627,13991,200,0
dogrib,ws10,proximity,0,3,22650,28.4508,471,0.591627,14651,200,0
dogrib,ws10,proximity,0,11,27634,34.7113,471,0.591627,17396,200,0
dogrib,ws10,proximity,0,14,26055,32.7279,471,0.591627,16218,200,0
dogrib,ws10,proximity,0,26,11135,13.9868,471,0.591627,6668,200,0
dogrib,ws10,proximity,0,25,13516,16.9776,471,0.591627,9221,200,0
dogrib,ws10,proximity,0,17,16324,20.5047,471,0.591627,10972,200,0
dogrib,ws10,proximity,0,18,24586,30.8827,471,0.591627,15889,200,0
dogrib,ws10,proximity,0,29,14372,18.0528,471,0.591627,8862,200,0
dogrib,ws10,proximity,0,27,17047,21.4129,471,0.591627,10714,200,0
dogrib,ws10,proximity,0,19,24903,31.2809,471,0.591627,16060,200,0
dogrib,ws10,proximity,0,28,19611,24.6335,471,0.591627,13112,200,0
dogrib,ws10,proximity,0,24,22632,28.4282,471,0.591627,14336,200,0
dogrib,ws10,proximity,0,20,25317,31.8009,471,0.591627,16239,200,0
dogrib,ws10,proximity,0,30,26159,32.8585,471,0.591627,16845,200,0
dogrib,ws10,fuel_elevation,0,2,24346,30.5812,471,0.591627,15139,200,0
dogrib,ws10,fuel_elevation,0,6,22613,28.4044,471,0.591627,14399,200,0
dogrib,ws10,proximity,0,21,27246,34.2239,471,0.591627,17031,200,0
dogrib,ws10,fuel_elevation,0,9,19867,24.9551,471,0.591627,12320,200,0
dogrib,ws10,fuel_elevation,0,8,19818,24.8935,471,0.591627,12362,200,0
dogrib,ws10,fuel_elevation,0,3,25520,32.0559,471,0.591627,15763,200,0
dogrib,ws10,fuel_elevation,0,1,32442,40.7506,471,0.591627,19739,200,0
dogrib,ws10,fuel_elevation,0,4,26552,33.3522,471,0.591627,16560,200,0
dogrib,ws10,fuel_elevation,0,5,27807,34.9286,471,0.591627,17459,200,0
dogrib,ws10,fuel_elevation,0,7,26289,33.0218,471,0.591627,16446,200,0
dogrib,ws10,fuel_elevation,0,11,24346,30.5812,471,0.591627,15132,200,0
dogrib,ws10,fuel_elevation,0,12,24924,31.3072,471,0.591627,15394,200,0
dogrib,ws10,fuel_elevation,0,14,26754,33.6059,471,0.591627,16883,200,0
dogrib,ws10,fuel_elevation,0,15,26575,33.3811,471,0.591627,16573,200,0
dogrib,ws10,fuel_elevation,0,10,35018,43.9864,471,0.591627,21819,200,0
dogrib,ws10,fuel_elevation,0,13,30172,37.8993,471,0.591627,19008,200,0
dogrib,ws10,fuel_elevation,0,18,28220,35.4474,471,0.591627,17427,200,0
dogrib,ws10,fuel_elevation,0,17,29283,36.7826,471,0.591627,18026,200,0
dogrib,ws10,fuel_elevation,0,22,29121,36.5791,471,0.591627,18313,200,0
dogrib,ws10,fuel_elevation,0,16,32614,40.9667,471,0.591627,19841,200,0
dogrib,ws10,fuel_elevation,0,23,26575,33.3811,471,0.591627,16573,200,0
dogrib,ws10,fuel_elevation,0,21,32347,40.6313,471,0.591627,20357,200,0
dogrib,ws10,fuel_elevation,0,20,33904,42.5871,471,0.591627,21077,200,0
dogrib,ws10,fuel_elevation,0,28,19867,24.9551,471,0.591627,12328,200,0
dogrib,ws10,fuel_elevation,0,25,26924,33.8194,471,0.591627,16915,200,0
dogrib,ws10,fuel_elevation,0,24,27446,34.4751,471,0.591627,16965,200,0
dogrib,ws10,fuel_elevation,0,19,34881,43.8143,471,0.591627,21711,200,0
dogrib,ws10,neighbour_fuel,0,2,17981,22.5861,471,0.591627,11675,200,0
dogrib,ws10,neighbour_fuel,0,3,22787,28.6229,471,0.591627,14244,200,0
dogrib,ws10,fuel_elevation,0,26,26045,32.7153,471,0.591627,16368,200,0
dogrib,ws10,neighbour_fuel,0,4,14848,18.6507,471,0.591627,9599,200,0
dogrib,ws10,fuel_elevation,0,27,29283,36.7826,471,0.591627,18026,200,0
dogrib,ws10,fuel_elevation,0,30,26754,33.6059,471,0.591627,16875,200,0
dogrib,ws10,neighbour_fuel,0,9,15761,19.7975,471,0.591627,10254,200,0
dogrib,ws10,neighbour_fuel,0,11,16002,20.1002,471,0.591627,10214,200,0
dogrib,ws10,neighbour_fuel,0,7,23557,29.5901,471,0.591627,14808,200,0
dogrib,ws10,neighbour_fuel,0,17,211,0.265039,471,0.591627,161,200,0
dogrib,ws10,neighbour_fuel,0,5,25270,31.7418,471,0.591627,15667,200,0
dogrib,ws10,neighbour_fuel,0,1,35151,44.1534,471,0.591627,21458,200,0
dogrib,ws10,fuel_elevation,0,29,36672,46.064,471,0.591627,22068,200,0
dogrib,ws10,neighbour_fuel,0,6,30780,38.663,471,0.591627,19003,200,0
dogrib,ws10,neighbour_fuel,0,8,27069,34.0016,471,0.591627,17079,200,0
dogrib,ws10,neighbour_fuel,0,12,27291,34.2804,471,0.591627,16963,200,0
dogrib,ws10,neighbour_fuel,0,13,31068,39.0248,471,0.591627,19125,200,0
dogrib,ws10,neighbour_fuel,0,10,37127,46.6355,471,0.591627,22791,200,0
dogrib,ws10,neighbour_fuel,0,16,32546,40.8813,471,0.591627,20189,200,0
