landscape,wind,strategy,min_dist,cells_burned,burn_pct,cells_treated,treat_pct,peak_burning,fire_periods,returncode
Arrowhead,ws43,random,0,14472,5.45011,471,0.177377,6382,200,0
Arrowhead,ws25,cell4_highonly,0,68,0.0256086,471,0.177377,48,200,0
Arrowhead,ws10,cell6_barriers,0,8495,3.19919,471,0.177377,2908,200,0
Arrowhead,ws10,cell5_hilly,0,8485,3.19542,471,0.177377,2928,200,0
Arrowhead,ws25,cell2_ground,2,244,0.0918896,471,0.177377,111,200,0
Arrowhead,ws43,proximity,0,78,0.0293745,471,0.177377,62,200,0
Arrowhead,ws43,fuel_elevation,0,152,0.0572427,471,0.177377,109,200,0
Arrowhead,ws43,neighbour_fuel,0,185,0.0696704,471,0.177377,132,200,0
Arrowhead,ws43,shielded_ratio,0,217,0.0817215,471,0.177377,135,200,0
Arrowhead,ws43,open_anchor,0,104,0.0391661,471,0.177377,80,200,0
Arrowhead,ws43,cell1_baseline,0,77,0.028998,471,0.177377,61,200,0
Arrowhead,ws43,fuel_flank,0,357,0.134445,471,0.177377,251,200,0
Arrowhead,ws43,cell2_ground,0,187,0.0704236,471,0.177377,133,200,0
Arrowhead,ws43,cell4_highonly,0,70,0.0263618,471,0.177377,52,200,0
MicaCreek,ws10,none,0,27186,7.80301,0,0.0,15130,200,0
MicaCreek,ws10,random,0,27159,7.79526,471,0.135188,15084,200,0
Arrowhead,ws43,cell2_ground,2,298,0.112226,471,0.177377,131,200,0
Arrowhead,ws25,cell3_lowonly,0,12763,4.8065,471,0.177377,5462,200,0
Arrowhead,ws25,cell6_barriers,0,12763,4.8065,471,0.177377,5462,200,0
MicaCreek,ws10,fuel_elevation,0,241,0.0691726,471,0.135188,184,200,0
Arrowhead,ws25,cell5_hilly,0,12825,4.82985,471,0.177377,5475,200,0
MicaCreek,ws10,neighbour_fuel,0,206,0.0591268,471,0.135188,145,200,0
Arrowhead,ws43,cell3_lowonly,0,14363,5.40906,471,0.177377,6295,200,0
Arrowhead,ws43,cell6_barriers,0,14363,5.40906,471,0.177377,6295,200,0
Arrowhead,ws43,cell5_hilly,0,14365,5.40981,471,0.177377,6311,200,0
MicaCreek,ws10,cell4_highonly,0,50,0.0143512,471,0.135188,35,200,0
MicaCreek,ws10,open_anchor,0,2506,0.71928,471,0.135188,1492,200,0
MicaCreek,ws10,proximity,0,11185,3.21035,471,0.135188,6776,200,0
MicaCreek,ws10,fuel_flank,0,11335,3.25341,471,0.135188,6875,200,0
MicaCreek,ws25,none,0,29481,8.46173,0,0.0,17141,200,0
MicaCreek,ws25,random,0,29450,8.45283,471,0.135188,17151,200,0
MicaCreek,ws10,cell2_ground,0,12039,3.45547,471,0.135188,7234,200,0
MicaCreek,ws10,cell1_baseline,0,22703,6.51629,471,0.135188,13312,200,0
MicaCreek,ws25,proximity,0,14006,4.02005,471,0.135188,9322,200,0
MicaCreek,ws25,shielded_ratio,0,210,0.0602749,471,0.135188,148,200,0
MicaCreek,ws10,shielded_ratio,0,25314,7.2657,471,0.135188,14673,200,0
MicaCreek,ws10,cell3_lowonly,0,27138,7.78923,471,0.135188,15016,200,0
MicaCreek,ws10,cell6_barriers,0,27138,7.78923,471,0.135188,15007,200,0
MicaCreek,ws10,cell2_ground,2,25698,7.37592,471,0.135188,14429,200,0
MicaCreek,ws10,cell5_hilly,0,27172,7.79899,471,0.135188,15015,200,0
MicaCreek,ws25,cell4_highonly,0,40,0.0114809,471,0.135188,33,200,0
MicaCreek,ws25,fuel_elevation,0,25187,7.22925,471,0.135188,15490,200,0
MicaCreek,ws25,fuel_flank,0,14006,4.02005,471,0.135188,9322,200,0
MicaCreek,ws25,open_anchor,0,18442,5.29328,471,0.135188,11935,200,0
MicaCreek,ws43,none,0,23951,6.87449,0,0.0,12032,200,0
MicaCreek,ws43,random,0,23926,6.86731,471,0.135188,12005,200,0
MicaCreek,ws43,proximity,0,55,0.0157863,471,0.135188,47,200,0
MicaCreek,ws25,neighbour_fuel,0,27234,7.81679,471,0.135188,16428,200,0
MicaCreek,ws25,cell1_baseline,0,24517,7.03695,471,0.135188,15352,200,0
MicaCreek,ws43,fuel_elevation,0,19786,5.67904,471,0.135188,10343,200,0
MicaCreek,ws25,cell2_ground,0,25893,7.43189,471,0.135188,15793,200,0
MicaCreek,ws43,open_anchor,0,178,0.0510901,471,0.135188,117,200,0
MicaCreek,ws43,fuel_flank,0,46,0.0132031,471,0.135188,40,200,0
MicaCreek,ws43,neighbour_fuel,0,12287,3.52665,471,0.135188,6634,200,0
MicaCreek,ws25,cell3_lowonly,0,29424,8.44537,471,0.135188,17063,200,0
MicaCreek,ws25,cell2_ground,2,25379,7.28436,471,0.135188,15399,200,0
MicaCreek,ws43,cell4_highonly,0,34,0.00975879,471,0.135188,33,200,0
MicaCreek,ws43,shielded_ratio,0,12547,3.60128,471,0.135188,7084,200,0
MicaCreek,ws25,cell5_hilly,0,29454,8.45398,471,0.135188,17056,200,0
Revelstoke,ws10,none,0,8713,2.2266,0,0.0,3544,200,0
Revelstoke,ws10,random,0,8713,2.2266,471,0.120364,3544,200,0
MicaCreek,ws43,cell1_baseline,0,10061,2.88774,471,0.135188,6331,200,0
Revelstoke,ws10,proximity,0,584,0.149241,471,0.120364,439,200,0
Revelstoke,ws10,fuel_elevation,0,184,0.0470211,471,0.120364,130,200,0
MicaCreek,ws25,cell6_barriers,0,29424,8.44537,471,0.135188,17063,200,0
MicaCreek,ws43,cell2_ground,0,12246,3.51489,471,0.135188,7010,200,0
Revelstoke,ws10,open_anchor,0,278,0.0710427,471,0.120364,186,200,0
Revelstoke,ws10,neighbour_fuel,0,1034,0.264238,471,0.120364,619,200,0
Revelstoke,ws10,shielded_ratio,0,1114,0.284682,471,0.120364,598,200,0
Revelstoke,ws10,cell1_baseline,0,407,0.104009,471,0.120364,290,200,0
Revelstoke,ws10,fuel_flank,0,584,0.149241,471,0.120364,439,200,0
Revelstoke,ws10,cell4_highonly,0,323,0.0825424,471,0.120364,218,200,0
Revelstoke,ws10,cell2_ground,0,1026,0.262194,471,0.120364,616,200,0
Revelstoke,ws10,cell2_ground,2,1442,0.368502,471,0.120364,633,200,0
Revelstoke,ws25,none,0,12695,3.2442,0,0.0,5369,200,0
Revelstoke,ws25,random,0,12695,3.2442,471,0.120364,5369,200,0
MicaCreek,ws43,cell3_lowonly,0,23901,6.86014,471,0.135188,12006,200,0
Revelstoke,ws10,cell3_lowonly,0,8703,2.22405,471,0.120364,3541,200,0
MicaCreek,ws43,cell2_ground,2,19145,5.49506,471,0.135188,10597,200,0
Revelstoke,ws25,neighbour_fuel,0,51,0.013033,471,0.120364,40,200,0
Revelstoke,ws25,fuel_elevation,0,149,0.0380768,471,0.120364,106,200,0
Revelstoke,ws25,shielded_ratio,0,51,0.013033,471,0.120364,40,200,0
MicaCreek,ws43,cell5_hilly,0,23905,6.86129,471,0.135188,11930,200,0
MicaCreek,ws43,cell6_barriers,0,23901,6.86014,471,0.135188,12006,200,0
Revelstoke,ws25,proximity,0,1154,0.294904,471,0.120364,820,200,0
Revelstoke,ws10,cell5_hilly,0,8713,2.2266,471,0.120364,3544,200,0
Revelstoke,ws10,cell6_barriers,0,8703,2.22405,471,0.120364,3541,200,0
Revelstoke,ws25,open_anchor,0,50,0.0127775,471,0.120364,38,200,0
Revelstoke,ws25,cell2_ground,0,51,0.013033,471,0.120364,40,200,0
Revelstoke,ws25,cell1_baseline,0,130,0.0332214,471,0.120364,96,200,0
Revelstoke,ws43,none,0,16584,4.23803,0,0.0,8441,200,0
Revelstoke,ws43,random,0,16584,4.23803,471,0.120364,8441,200,0
Revelstoke,ws25,cell4_highonly,0,130,0.0332214,471,0.120364,77,200,0
Revelstoke,ws43,fuel_elevation,0,107,0.0273438,471,0.120364,87,200,0
Revelstoke,ws25,fuel_flank,0,1942,0.496277,471,0.120364,1272,200,0
Revelstoke,ws43,shielded_ratio,0,36,0.00919977,471,0.120364,30,200,0
Revelstoke,ws43,open_anchor,0,31,0.00792203,471,0.120364,26,200,0
Revelstoke,ws43,fuel_flank,0,84,0.0214661,471,0.120364,66,200,0
Revelstoke,ws43,cell1_baseline,0,140,0.0357769,471,0.120364,105,200,0
Revelstoke,ws25,cell2_ground,2,6916,1.76738,471,0.120364,2832,200,0
Revelstoke,ws43,neighbour_fuel,0,7357,1.88008,471,0.120364,3958,200,0
Revelstoke,ws43,cell4_highonly,0,28,0.00715538,471,0.120364,26,200,0
Revelstoke,ws43,proximity,0,4856,1.24095,471,0.120364,3236,200,0
Revelstoke,ws25,cell3_lowonly,0,12643,3.23091,471,0.120364,5394,200,0
Revelstoke,ws25,cell6_barriers,0,12643,3.23091,471,0.120364,5394,200,0
Revelstoke,ws25,cell5_hilly,0,12681,3.24062,471,0.120364,5396,200,0
Revelstoke,ws43,cell2_ground,0,9110,2.32805,471,0.120364,4910,200,0
Revelstoke,ws43,cell2_ground,2,11248,2.87442,471,0.120364,6151,200,0
Revelstoke,ws43,cell3_lowonly,0,16495,4.21528,471,0.120364,8432,200,0
Revelstoke,ws43,cell6_barriers,0,16496,4.21554,471,0.120364,8435,200,0
Revelstoke,ws43,cell5_hilly,0,16439,4.20097,471,0.120364,8422,200,0
